ind,D,T,S,U,rxn,clean_time,real_time,KaiA,ATP,Temp,KaiC
r15_2,11.63879,28.064538,13.366058,46.930613,r15,2,2,4.5,10,30,3.5
r15_3,17.234926,31.91752,14.969927,35.877627,r15,3,3.5,4.5,10,30,3.5
r15_4,21.603051,31.206091,14.706759,32.484099,r15,4,4.5,4.5,10,30,3.5
r15_6,22.539712,21.242748,21.721147,34.496393,r15,6,6.966666667,4.5,10,30,3.5
r15_10,24.313363,21.531124,26.194537,27.960976,r15,10,10.21666667,4.5,10,30,3.5
r15_12,18.941351,15.334792,30.321727,35.40213,r15,12,12.25,4.5,10,30,3.5
r16_0,2.0455426,5.853656,1.5796659,90.521136,r16,0,0,6,100,30,3.5
r16_1,7.0629583,30.285327,7.6879741,54.96374,r16,1,1,6,100,30,3.5
r16_2,18.54445,38.140318,9.8053552,33.509877,r16,2,2,6,100,30,3.5
r16_3,27.643103,43.182126,9.9124272,19.262343,r16,3,3.5,6,100,30,3.5
r16_4,33.222788,40.83276,10.182785,15.761668,r16,4,4.5,6,100,30,3.5
r16_6,46.131497,34.93806,9.1342859,9.7961571,r16,6,6.966666667,6,100,30,3.5
r16_10,55.795508,29.504332,9.040989,5.659171,r16,10,10.21666667,6,100,30,3.5
r16_12,55.678535,25.895546,11.444101,6.9818185,r16,12,12.25,6,100,30,3.5
r17_0,0.51111802,6.5044966,4.8117637,88.172622,r17,0,0,6,25,30,3.5
r17_1,7.8417641,31.685727,9.3086661,51.163843,r17,1,1,6,25,30,3.5
r17_2,16.898801,38.400306,12.062975,32.637919,r17,2,2,6,25,30,3.5
r17_3,26.410373,36.570638,14.765517,22.253473,r17,3,3.5,6,25,30,3.5
r17_4,33.633871,31.5036,15.539478,19.323051,r17,4,4.5,6,25,30,3.5
r17_6,39.886191,29.344097,15.031329,15.738383,r17,6,6.966666667,6,25,30,3.5
r17_10,41.959473,23.819735,19.185738,15.035055,r17,10,10.21666667,6,25,30,3.5
r17_12,41.884557,19.395856,23.099982,15.619605,r17,12,12.25,6,25,30,3.5
r18_0,1.0172847,4.3133486,4.8198412,89.849525,r18,0,0,6,10,30,3.5
r18_1,5.8412881,24.831327,10.731496,58.595889,r18,1,1,6,10,30,3.5
r18_2,14.565134,29.136614,13.995253,42.303,r18,2,2,6,10,30,3.5
r18_3,19.528488,28.668909,16.954555,34.848048,r18,3,3.5,6,10,30,3.5
r18_4,23.765686,26.519752,17.614484,32.100077,r18,4,4.5,6,10,30,3.5
r18_6,28.647818,20.30101,22.021708,29.029464,r18,6,6.966666667,6,10,30,3.5
r18_10,26.673305,16.694194,26.977299,29.655202,r18,10,10.21666667,6,10,30,3.5
r18_12,24.882128,13.906001,29.12864,32.083231,r18,12,12.25,6,10,30,3.5
double1_0,0.061390337,1.7058444,1.0458661,97.186899,double1,0,0,1.5,100,30,7
double1_1,3.5165222,24.070349,4.7576261,67.655503,double1,1,1,1.5,100,30,7
double1_2,7.259088,37.679177,7.1471814,47.914554,double1,2,2,1.5,100,30,7
double1_3,15.351301,46.457648,6.984147,31.206904,double1,3,3.5,1.5,100,30,7
double1_4,20.078514,45.38399,9.1362529,25.401243,double1,4,4.5,1.5,100,30,7
double1_6,26.975975,42.637343,11.348248,19.038433,double1,6,6.966666667,1.5,100,30,7
double1_10,29.250237,40.090402,14.991533,15.667829,double1,10,10.21666667,1.5,100,30,7
double1_12,31.030278,34.858561,17.599902,16.511258,double1,12,12.25,1.5,100,30,7
half1_0,0.43906336,0.92976736,1.1634666,97.467703,half1,0,0,1.5,100,30,1.75
half1_1,3.650293,27.010383,4.4549995,64.884324,half1,1,1,1.5,100,30,1.75
half1_2,8.4632206,42.143289,2.8386916,46.554799,half1,2,2,1.5,100,30,1.75
half1_3,17.001069,45.908086,8.9470233,28.143822,half1,3,3.5,1.5,100,30,1.75
half1_4,22.325297,45.361119,11.082416,21.231169,half1,4,4.5,1.5,100,30,1.75
half1_6,30.574159,44.913467,9.7009866,14.811387,half1,6,6.966666667,1.5,100,30,1.75
half1_10,35.470827,34.873061,15.845843,13.810269,half1,10,10.21666667,1.5,100,30,1.75
half1_12,34.300429,34.31623,17.243169,14.140171,half1,12,12.25,1.5,100,30,1.75
